MsgID.STATE,1521883067.1269608,False,False
MsgID.LOCAL_POSITION,1521883074.8786745,-0.0971911,0.0744992,-3.3054519
MsgID.LOCAL_VELOCITY,1521883074.8786745,-0.0089526,-0.0102193,-3.9449511
MsgID.GLOBAL_POSITION,1521883075.1262295,-122.3974506,37.7924784,4.2950000
MsgID.LOCAL_VELOCITY,1521883075.1262295,0.0000000,0.0000000,-3.9700000
MsgID.LOCAL_POSITION,1521883075.1262295,-0.2231956,0.2357362,-4.2959375
MsgID.LOCAL_VELOCITY,1521883075.1262295,-0.0089262,-0.0020887,-3.9791427
MsgID.STATE,1521883075.3599243,True,True
MsgID.GLOBAL_HOME,1521883075.3599243,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521883075.3749256,-122.3974509,37.7924792,5.1570000
MsgID.LOCAL_VELOCITY,1521883075.3749256,0.0000000,0.0000000,-2.2600000
MsgID.LOCAL_POSITION,1521883075.3759251,-0.1331726,0.2133360,-5.1576114
MsgID.LOCAL_VELOCITY,1521883075.3759251,-0.0054318,-0.0051792,-2.2631438
MsgID.GLOBAL_POSITION,1521883075.6271698,-122.3974509,37.7924804,5.4140000
MsgID.LOCAL_VELOCITY,1521883075.6271698,0.0000000,0.0000000,0.2600000
MsgID.LOCAL_POSITION,1521883075.6271698,0.0002315,0.2097979,-5.4148631
MsgID.LOCAL_VELOCITY,1521883075.6271698,-0.0051014,-0.0048642,0.2609957
MsgID.GLOBAL_POSITION,1521883075.8774695,-122.3974509,37.7924793,5.0970000
MsgID.LOCAL_VELOCITY,1521883075.8774695,0.2200000,0.0500000,1.9500000
MsgID.LOCAL_POSITION,1521883075.8774695,-0.1212298,0.2134682,-5.0970206
MsgID.LOCAL_VELOCITY,1521883075.8774695,0.2228700,0.0515519,1.9535260
MsgID.LOCAL_POSITION,1521883076.1264691,0.2282823,0.2286656,-4.7646427
MsgID.LOCAL_VELOCITY,1521883076.1264691,2.3694899,0.0604462,0.5721340
MsgID.GLOBAL_POSITION,1521883076.1264691,-122.3974507,37.7924825,4.7640000
MsgID.LOCAL_VELOCITY,1521883076.1264691,2.3600000,0.0600000,0.5700000
MsgID.STATE,1521883076.3604681,True,True
MsgID.GLOBAL_HOME,1521883076.3604681,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1521883076.3764663,1.2683691,0.2451157,-4.8177943
MsgID.LOCAL_VELOCITY,1521883076.3764663,4.3410673,0.0720503,-0.7981904
MsgID.GLOBAL_POSITION,1521883076.3774676,-122.3974505,37.7924918,4.8170000
MsgID.LOCAL_VELOCITY,1521883076.3774676,4.3400000,0.0700000,-0.7900000
MsgID.LOCAL_POSITION,1521883076.6248820,2.3001857,0.2637712,-4.9695849
MsgID.LOCAL_VELOCITY,1521883076.6248820,5.0536981,0.0752304,-0.1770682
MsgID.GLOBAL_POSITION,1521883076.6258860,-122.3974503,37.7925011,4.9690000
MsgID.LOCAL_VELOCITY,1521883076.6258860,5.0500000,0.0700000,-0.1700000
MsgID.GLOBAL_POSITION,1521883076.8761206,-122.3974501,37.7925128,4.9440000
MsgID.LOCAL_VELOCITY,1521883076.8761206,5.8400000,0.0800000,0.2100000
MsgID.LOCAL_POSITION,1521883076.8771222,3.5938611,0.2834904,-4.9448652
MsgID.LOCAL_VELOCITY,1521883076.8771222,5.8423367,0.0800726,0.2105626
MsgID.GLOBAL_POSITION,1521883077.1261194,-122.3974499,37.7925289,4.9060000
MsgID.LOCAL_VELOCITY,1521883077.1261194,6.8800000,0.0800000,0.0100000
MsgID.LOCAL_POSITION,1521883077.1271198,5.3823905,0.3015178,-4.9067674
MsgID.LOCAL_VELOCITY,1521883077.1271198,6.8843141,0.0858895,0.0114574
MsgID.STATE,1521883077.3611205,True,True
MsgID.GLOBAL_HOME,1521883077.3611205,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521883077.3771245,-122.3974503,37.7925454,4.9200000
MsgID.LOCAL_VELOCITY,1521883077.3771245,7.8100000,0.0900000,-0.0800000
MsgID.LOCAL_POSITION,1521883077.3771245,7.2233496,0.2591887,-4.9208608
MsgID.LOCAL_VELOCITY,1521883077.3771245,7.8156328,0.0931538,-0.0810084
MsgID.GLOBAL_POSITION,1521883077.6285102,-122.3974499,37.7925644,4.9360000
MsgID.LOCAL_VELOCITY,1521883077.6285102,8.4500000,0.1000000,-0.0100000
MsgID.LOCAL_POSITION,1521883077.6295085,9.3292589,0.3016470,-4.9363599
MsgID.LOCAL_VELOCITY,1521883077.6295085,8.4515181,0.1006510,-0.0185455
MsgID.LOCAL_POSITION,1521883077.8782516,11.3840771,0.5275919,-4.9326015
MsgID.LOCAL_VELOCITY,1521883077.8782516,8.6952162,0.1010618,0.0423638
MsgID.GLOBAL_POSITION,1521883077.8782516,-122.3974473,37.7925829,4.9320000
MsgID.LOCAL_VELOCITY,1521883077.8782516,8.6900000,0.1000000,0.0400000
MsgID.LOCAL_POSITION,1521883078.1280661,13.4398632,0.5132407,-4.9248295
MsgID.LOCAL_VELOCITY,1521883078.1280661,8.7959776,0.0859756,-0.0042473
MsgID.GLOBAL_POSITION,1521883078.1290660,-122.3974475,37.7926014,4.9240000
MsgID.LOCAL_VELOCITY,1521883078.1290660,8.7900000,0.0800000,0.0000000
MsgID.STATE,1521883078.3597765,True,True
